time, timestep, x, y, lum
1712909928746228400, 0, 0, 0, 2.0
1712909933262198900, 1, 1, 1, 2.0
1712909935416349000, 2, 2, 2, 4.0
1712909937546936800, 3, 3, 3, 6.0
1712909940115178500, 4, 4, 4, 7.0
1712909943479795500, 5, 5, 5, 9.0
1712909945828782400, 6, 6, 6, 17.0
1712909948170346500, 7, 7, 7, 37.0
1712909950551423100, 8, 8, 8, 91.0
1712909952502663800, 9, 9, 9, 107.0
1712909955216521400, 10, 8, 9, 110.0
1712909958364874600, 11, 9, 8, 295.0
1712909958623545700, 12, 9, 8, 234.0
1712909961550888900, 13, 8, 7, 154.0
1712909964188282700, 14, 9, 7, 184.0
1712909966376939000, 15, 9, 8, 174.0
