time, timestep, x, y, lum
1712907798837799000, 0, 0, 0, 3.0
1712907802293723000, 1, 0, 1, 2.0
1712907803906892500, 2, 0, 2, 2.0
1712907805767377900, 3, 0, 3, 2.0
1712907807387925900, 4, 0, 4, 2.0
1712907809202995600, 5, 0, 5, 4.0
1712907811035368100, 6, 0, 6, 4.0
1712907812488828400, 7, 0, 7, 5.0
1712907814196403000, 8, 0, 8, 4.0
1712907815606353100, 9, 0, 9, 7.0
1712907817770475200, 10, 1, 9, 5.0
1712907820138213800, 11, 1, 8, 6.0
1712907821969519100, 12, 1, 7, 4.0
1712907823602894400, 13, 1, 6, 4.0
1712907826007046500, 14, 1, 5, 2.0
1712907827743991200, 15, 1, 4, 1.0
1712907829497603100, 16, 1, 3, 2.0
1712907832311192400, 17, 1, 2, 4.0
1712907834238955900, 18, 1, 1, 2.0
1712907835947656400, 19, 1, 0, 4.0
1712907838061656700, 20, 2, 0, 4.0
1712907839989276600, 21, 2, 1, 2.0
1712907841694417000, 22, 2, 2, 4.0
1712907843297392000, 23, 2, 3, 9.0
1712907845837666000, 24, 2, 4, 4.0
1712907847678675900, 25, 2, 5, 4.0
1712907849072394600, 26, 2, 6, 8.0
1712907850798684400, 27, 2, 7, 8.0
1712907852417504600, 28, 2, 8, 10.0
1712907854036283100, 29, 2, 9, 7.0
1712907856348523400, 30, 3, 9, 4.0
1712907858525943200, 31, 3, 8, 4.0
1712907860234871100, 32, 3, 7, 14.0
1712907862196393600, 33, 3, 6, 13.0
1712907863957005600, 34, 3, 5, 8.0
1712907865843764600, 35, 3, 4, 4.0
1712907867931136100, 36, 3, 3, 2.0
1712907870258487500, 37, 3, 2, 4.0
1712907872188237900, 38, 3, 1, 2.0
1712907874122777100, 39, 3, 0, 2.0
1712907876312837000, 40, 4, 0, 0.0
1712907878280392900, 41, 4, 1, 7.0
1712907880018863400, 42, 4, 2, 2.0
1712907881728300700, 43, 4, 3, 4.0
1712907883453253700, 44, 4, 4, 7.0
1712907884891520000, 45, 4, 5, 7.0
1712907886601263500, 46, 4, 6, 9.0
1712907888359261100, 47, 4, 7, 22.0
1712907890111642400, 48, 4, 8, 10.0
1712907892060988800, 49, 4, 9, 7.0
1712907894873884600, 50, 5, 9, 14.0
1712907896983270900, 51, 5, 8, 27.0
1712907898706408100, 52, 5, 7, 104.0
1712907900342440800, 53, 5, 6, 19.0
1712907902006810200, 54, 5, 5, 21.0
1712907903867800000, 55, 5, 4, 14.0
1712907905487715200, 56, 5, 3, 5.0
1712907907318102800, 57, 5, 2, 2.0
1712907908921439800, 58, 5, 1, 3.0
1712907911281051500, 59, 5, 0, 4.0
1712907913487413400, 60, 6, 0, 4.0
1712907915704273900, 61, 6, 1, 2.0
1712907919196285300, 62, 6, 2, 3.0
1712907921145972800, 63, 6, 3, 59.0
1712907922885141200, 64, 6, 4, 154.0
1712907924477441200, 65, 6, 5, 29.0
1712907926097893300, 66, 6, 6, 27.0
1712907928442847400, 67, 6, 7, 18.0
1712907930056893000, 68, 6, 8, 37.0
1712907932008607300, 69, 6, 9, 2.0
1712907934200395300, 70, 7, 9, 27.0
1712907936148531500, 71, 7, 8, 195.0
1712907938066529600, 72, 7, 7, 56.0
1712907939777008400, 73, 7, 6, 37.0
1712907941369024900, 74, 7, 5, 18.0
1712907942985779800, 75, 7, 4, 56.0
1712907944711687100, 76, 7, 3, 3.0
1712907947038380000, 77, 7, 2, 4.0
1712907949650538100, 78, 7, 1, 2.0
1712907951266905800, 79, 7, 0, 3.0
1712907953426792200, 80, 8, 0, 2.0
1712907956209295200, 81, 8, 1, 9.0
1712907958182867100, 82, 8, 2, 7.0
1712907959801622800, 83, 8, 3, 2.0
1712907961452977000, 84, 8, 4, 9.0
1712907963086716100, 85, 8, 5, 38.0
1712907964572129300, 86, 8, 6, 56.0
1712907965984214000, 87, 8, 7, 609.0
1712907967695527400, 88, 8, 8, 34.0
1712907969490512900, 89, 8, 9, 24.0
1712907971652138900, 90, 9, 9, 72.0
1712907973631665400, 91, 9, 8, 102.0
1712907975328027700, 92, 9, 7, 329.0
1712907977037918000, 93, 9, 6, 36.0
1712907978656138400, 94, 9, 5, 77.0
1712907980955124800, 95, 9, 4, 41.0
1712907982676753200, 96, 9, 3, 17.0
1712907984085813000, 97, 9, 2, 7.0
1712907986311031400, 98, 9, 1, 2.0
1712907988622727600, 99, 9, 0, 1.0
1712908000067277900, 101, 8, 7, 55.0
